0.000368, 0.500000
-0.020234, 0.519606
-0.015464, 0.519770
-0.010692, 0.519890
-0.005919, 0.519966
-0.001146, 0.519999
0.003627, 0.519987
0.008400, 0.519932
0.013172, 0.519833
0.017944, 0.519690
0.035313, 0.538844
0.030548, 0.539135
0.025782, 0.539384
0.021013, 0.539591
0.016242, 0.539756
0.011470, 0.539878
0.006698, 0.539958
0.001925, 0.539997
-0.002849, 0.539992
-0.007622, 0.539946
-0.012394, 0.539858
-0.017166, 0.539727
-0.021936, 0.539554
-0.026705, 0.539339
-0.031471, 0.539082
-0.036235, 0.538783
-0.055120, 0.557281
-0.050368, 0.557730
-0.045613, 0.558139
-0.040853, 0.558508
-0.036091, 0.558836
-0.031327, 0.559123
-0.026560, 0.559370
-0.021791, 0.559576
-0.017020, 0.559741
-0.012249, 0.559866
-0.007476, 0.559950
-0.002703, 0.559993
0.002070, 0.559996
0.006843, 0.559958
0.011616, 0.559880
0.016388, 0.559760
0.021159, 0.559600
0.025928, 0.559399
0.030695, 0.559158
0.035460, 0.558876
0.040222, 0.558554
0.044982, 0.558191
0.049738, 0.557787
0.054491, 0.557343
0.070136, 0.575744
0.065396, 0.576302
0.060650, 0.576820
0.055901, 0.577300
0.051148, 0.577740
0.046392, 0.578142
0.041632, 0.578504
0.036870, 0.578827
0.032105, 0.579111
0.027338, 0.579355
0.022569, 0.579561
0.017799, 0.579727
0.013027, 0.579854
0.008255, 0.579941
0.003481, 0.579990
-0.001292, 0.579999
-0.006065, 0.579968
-0.010838, 0.579899
-0.015610, 0.579790
-0.020381, 0.579642
-0.025151, 0.579454
-0.029919, 0.579228
-0.034685, 0.578962
-0.039448, 0.578657
-0.044209, 0.578313
-0.048967, 0.577929
-0.053721, 0.577507
-0.058472, 0.577045
-0.063219, 0.576544
-0.067962, 0.576004
-0.085119, 0.593932
-0.080391, 0.594590
-0.075658, 0.595211
-0.070921, 0.595794
-0.066178, 0.596339
-0.061432, 0.596847
-0.056682, 0.597317
-0.051928, 0.597749
-0.047171, 0.598143
-0.042411, 0.598499
-0.037649, 0.598818
-0.032883, 0.599098
-0.028116, 0.599341
-0.023347, 0.599546
-0.018577, 0.599712
-0.013805, 0.599841
-0.009033, 0.599932
-0.004260, 0.599985
0.000513, 0.600000
0.005287, 0.599977
0.010060, 0.599916
0.014832, 0.599817
0.019603, 0.599680
0.024373, 0.599505
